,tweetid,content,polarity
0,768225400254111744,totalmente puntual,NONE
1,770077064833671168,hola sandrita habia desear feliz dia madre tardar seguro saber tú si juno tomar mas foto,P
2,771207534342320128,si andar hacer mejor quedar calladita jaja asi estan quemar mismo insinuar uno metida,N
3,771900763987513345,pereza querer chocar banano,N
4,772550560998301697,bueno mayor cuanto campar tú sos cartaguito cada aspecto vida vestir,N
5,772594807357124608,pasar dia buscar baby lips acabar encontrar mesita noche fijar poner ahi dormir,NEU
6,772264329433509888,halcon terminal ver mortal mary jo bang volar todavia quedar duluth salcedo,P
7,771140523562143744,ahorita ir cambiar ligar brackett alfajor argentino bulto hambre hacer poder esperar mas,NONE
8,773525753082187776,amor paciente bondadoso envidioso orgulloso egoista guardar rencor corintio bueno dia,P
9,774595982600253441,amanecer respirar o2 puro mas regalar mas si am frente mar preparar mente meditación,P
10,774723515995914240,acabar ver chamaco piercing mota ombligo peor caro fumar jamon,N
11,773655374796759041,hahaha sq si hacer rato cambiarlo haha creer si aguantar mio bastantito casi ano,NEU
12,774256876787671040,acabar ver excompanera trabajar senti tentar saludarla trompa carro 150kmph intencionalmente,N
13,774803451830087680,ah si gracia encontrar ahora pricesmart vender hacer ano,NONE
14,774852457209880576,bueno noche papar descansar,P
15,774865746639728640,faltar mil colorir unica manera hacer todo entrar metallica literal pichaseandome semana trabajar hora,N
16,773360298472329216,alvarado velar salud,NONE
17,773378686301016065,nunca hacer existir segun mas evidenciar aparecer mas vez dia casar validar,N
18,775116236912984064,! alegrar muchisimo gustar igualmente placer saludarte proxima venir sj avisar tiempo ir cafe,P
19,768160329486495744,hoy preguntar existencial hoy hacer frio volvio dar hipar despues tanto ano,NONE
20,768203766898233345,aqui chepe conseguir bueno sartén herrar ver universal marcar gibson q siquiera aparecer internet,NONE
21,769270495971770368,nunca decir contrario,NONE
22,769305893976485888,dar ganar volarlo acordar pelar desmadrar dejar querer,N
23,769344454088019968,pobre bastian scheweisteinger pasar united crack genio mou querer,P
24,769339737043677186,esaa mejor suerte disfrutar noche disfrutar grande saludo costa rico bueno vida puro vida,P
25,757258941210382340,mae manana llegar cuidar quedo dormir ahi liena quedar dormir llegar,N
26,757247192050446337,familia ir playa irresponsable quedarme hacer extra clase martes,NONE
27,757252258127941632,matt cooper ano ser partir tourjunto bicis camisa amarillo mucho gracia,P
28,757123970256605185,mejor dormir bueno noche,NEU
29,757418118947872768,horario semestre tan tan feo tendre despedir poco vida social estrenar suicidar squad,N
30,756912334816186368,sabio ir ser bueno dia dejar bus rompio fajar bolso,N
31,756520939492302849,maes vida mierda esten feliz mejor sonrian aprovechar tiempo amargar ir hacer menos mierda,NEU
32,756650097102893056,mal estan jugar creer q jugador viejo casar deberian tener prioridad bueno,N
33,756618178650923008,parce igual,NEU
34,756700943043928064,gracia dios cerrar broche orar dios siempre dar mejor hijo semana mejor pasar thnksgod,P
35,756313579872096256,hola paular partir primero generacion ir tener resolución problema bachi matar,NONE
36,756354568003457024,excelente dar carro molestar igual conocer nadie mas q hacer uber asi bono,P
37,757793484468211713,aca ugh canelo gustar caer pesar quitar gracia kris,N
38,756184498606190592,solo querer dormir mas,N
39,775941293411176450,bueno noche papar descansar,P
40,775928256633581568,oír revivir escobar pa poner interesante seriar eh jajajaja seriar,N
41,756194807630798853,unico senador q dirigir espanol audiencia republicano apoyar padre costarricense penar,N
42,758066276388384768,horario quedar tan perfecto tan bueno expectativa profes querer entrar clase tan bichoraro,P
43,755513187957518336,wtf biblia firmar diablo okno venir mente v,NONE
44,760675856326860800,solo mamar lograr primero vez cenar paz todo familia rodriguez feliz tener madre,P
45,760711448544837632,vivir metro basílico sali ver jugar polvora do dias bonito nadaquehacer,P
46,759198767451025408,fijar demasiar hermoso,P
47,760357231913119744,ver looking queers as folk asi dar contar nunca grupo mejorar amigo gay alguien adoptar,P
48,760177672525783040,recordar escribia hermano motivar hacer sentir util dios dar mejor hermano,P
49,760585615532437506,hoy iniciar concachampions realmente importar casar ir seguir si,N
50,760090117587476480,bueno dias iniciar mes darlo aunque mas menos bueno feliz iniciar semana,P
51,759229676669792257,llegar casar caminar comer estan dormir manana clase sam bien,N
52,760756300007477248,terminar am hora costa rico hacer super adictivo gustar encantar lcshinyforflowers,P
53,761208380954337280,triste raps,N
54,761702018197164032,fiesta bandera dia cerveza semana ultimar dia experiencia asi querer ir parranda,P
55,763031266169982977,estupida abis par mia esperar sacar desgraciar trailer resident evil fuck as md vamoos,P
56,762833657526497281,aguar helar regularmente mantener fresco poquito azucar semana durar mas mes,P
57,763042513913544705,encantar hacerte feliz,P
58,764523142995783680,poco decirle ningun trofeo conmemorativo equipo ganar jornada,NEU
59,763092730163568640,hacer dejar hablar saber cuanto extrano cha gracia,N
60,762980998762012672,emergencia gente necesitar ir hospital esperar citar hacer ano ahh apoyar parir nacional jiji,N
61,763162519582052352,entonces indigente problema mental justificar lanzar muneca callar,N
62,765284549127442436,ir poder ver mamar dia madre hijo grandísima puto bien,N
63,764569008465072129,daniela griselda,N
64,758120146607091712,totalmente fisico dejar atras personar atractivo incluir propuesta cerebro,P
65,755603120034488320,helar favorito comer parecio costa rico venir sigueme pls saludo bye,NONE
66,755006351793807360,acabar preguntarle mae par ir vina esque demasiar perdido,NONE
67,755234728156864512,hoy estan participar mucho mas mujer alegrar preguntar propio hacer preguntar parejo,P
68,758395896094752768,aburrir si vestir q motociclista andar especialmente violento pegar carro patear gritar gente,N
69,755966460355235840,bueno ir talamanca caquita girar malo finde examen analítico,NEU
70,758632139751579649,querer levantar ayudar,N
71,758451150349664256,milímetro querer hacer spoiler hoy ir ver nuevo caballo pudrir ver nuevo video subir uno hora,NEU
72,766391854149623809,quiza profesional muchopero remunerar principalmente femenino sonar paso pais,N
73,767053112007733248,xque perfumar usar victoria secret x ah usar pink mas caro,N
74,766460456634425344,gente aficionar futbol fanaticos envenenar hijueputa necio igual vida,N
75,767170856778928133,querer hacer preguntar si poder yay bueno preguntar ir irias jovenes victoria,NONE
76,767154504647139328,tú tambien ay triste nombre si dormir ir clase hoy 730 ! ! extrano beber,N
77,767156227042226177,solo quedar sabados mas asi jiji dias ir u vestir,NEU
78,761474790284595200,feo decepcionarte,N
79,762419931371622400,delicioso santo rafael ezcazu,P
80,761938992849838081,hahahaha habia vestir ojo desperte tratar dormir poder ser q ste despertar aun,NEU
81,761195957903953920,llegar tardar huge fan empecer creci subir caer todo seriar temporada favorito,P
82,762076127376515073,sincero rostro inocente amigar podar abrir perdi llave roommate contestar abrir,NONE
83,760726897819017216,tambien libro amp convencer pasar examenes gracia examenes viejo,NEU
84,760715780732354561,solo lucas,NONE
85,762534291255414784,cr hola queria agradecer personal starbucks sabana guardar cartero olvidar mejorar saludo,P
86,761372585900638208,buenisimo manana ir clase tardar yoga danzar yoga aerobic,P
87,777291543321260032,mandarle sacar conversacion alguien si varar fluir bueno sino ir pa mierda,N
88,777637901777514497,cagar puto,N
89,779066354758397954,post compartir ir poder tranquilo anunciar venir pobre gnr metallica,N
90,779085697554579456,saludo costa rico malayo q siempre escribir nunca responder igual nunca cansar escucharte beso,NEU
91,778795757985865730,chavo triste,P
92,779475155022123008,c triste realidad,N
93,779505704000364544,bueno chiquillo tirar piedra techar vecino si cristal feliz noche pili,P
94,778686044405321728,mas bonito ir bus llenar alguien comenzar toser si salir pulmon,N
95,777260686258819072,ver feo general,N
96,778387007831552000,jajaja pegar susto vida luego esperar meterlo taller icon vivir,NEU
97,778399423256592384,tan lindo diana mucho gracia ir ver acomodar ahora trabajar nuevo costar monton apoyar aca,NEU
98,778399123007569920,ano acompanarnos30 edad crecer manir vosotros mil gracia atte ale,P
99,779322857750827008,oops cierto matar,N
100,779181319024619520,noto personal ver videos noche youtubers comer ver videos noche youtubers comer ver videos noche,N
101,779173176357982208,coser q deber usar simplificar vida cerebro comun sonrisa eliminar interesar simple,P
102,779167291774685184,unam mil gracia prometer siguiente ano titular aunque costar llegar hoy,P
103,783372962971971585,rajar pasar ano dar contar uno coser cambiar mantener dar tranquilidad dias libre,NEU
104,783221220649172992,ct hola queria preguntarte si nuevo cafe chiapas mismo shade grown ir hacer degustación pronto,NONE
105,784013195321061376,jajajajajajaja consumir producir saludo jason disfrutar super viajar,P
106,783173947051216896,mamar adoptar gato dejar botar frente casar si alguien necesitar gato escribir,NONE
107,784856579795513344,sera entrenar entrenamiento artesanal decir ahora artesanal,N
108,784796015702441984,bueno ideo aunque dinamitar mia mismo edad distinto,P
109,784254527365013504,varar quiz edicion do examenes ensayar peor vacación casi acabar,N
110,785140294119485440,comic humor negro estare tiempo youtube si lograr volver ideo diferente cool,NEU
111,785015004647030784,ah hoy manana dia poder llamarme gustar pleno luz dia escribir barrio mierda,N
112,780613787376242703,hola odioso hacer falto,N
113,779847537574318080,ocupar dar secret pascoe beliebers comprar entrar despues sobrar poner venta normal,NONE
114,779562872791851008,sentir triste solo,N
115,781273986554486784,si aca algun chico chico mayor buscar emplear temporada navideño tender poner decímetro,NONE
116,781301714188054528,jajaja cierto ahorita percatar username preguntar vivir imbecil perdon,N
117,779569425573818369,fijar mae algun famoso decir entonces creer mas rico solicitar puerto opinion,NEU
118,780895754730676224,sali fin semana hoy tenia examen salir examen nadie querer ir torta chileno,N
119,779921033184903168,ayer gente fb portar mejor tl tw relacion temer himno,NEU
120,780481040225796097,bienvenido juego mental,P
121,779685439451992064,querer cambiar posicion cuartar tan indeciso si despues gustar ir sentir mal semana,N
122,779695637948272640,horrible bueno devastador,NEU
123,779693903645593600,9 a.m. aqui mocar tender llorar pelicula cameron diaz morir hijo,N
124,780014158708215808,queriamos ver tocar junto final asi ahora tocar leu q avanzar final visslaisaworldjuniors,N
125,777721329344655360,manana si dormir oficina contar sentir culpable buscar coral pantufla bonito noche,NEU
126,777704983705690112,mision cumplir fin semana fastidiar mario bromar verdad hola feo,NONE
127,777676192807649280,tabla revelador,NONE
128,783043022220951552,cargar odiar estan escuchar musicar abrazar salir vez vera quito,N
129,782363108945920000,! gracia pd seguir adelantar maravilloso trabajo quiza algun dia tributar soda stereo jeje,P
130,782096477183148032,x gimnasio ir cobrar 330mil colorir ano matricular hacer matematicas siguiente viajar,NONE
131,781528328712880128,curiosidad intentar banco distinto declinar reportar verde score tambien,NONE
132,782939496413212672,consejo hoy si querer personar tan especial nunca olvidar pidele dinero prestar nunca pagar,NEU
133,782803573864148992,peor basura mundo justar hoy andrea tenia verme mujer mal senti,N
134,782579699125932032,acoste super tardar ayer horario normal ahora poder seguir dormir aguantar calor hora,N
135,777267152197918720,si llegar unicamente pedir poquito mas tiempo normal tel,NONE
136,781367360418553856,mejor poder hacer hoy dormir punto llorar dia seriar,N
137,775421246758539266,siempre aprender nuevo,P
138,775418253942267904,sera normal odiar hermano siquiera respetar mandar lavarme culo rio lagarto,N
139,775331950290542594,manana hazme saber gran amor poner confianza salmo bueno dia,P
140,775389008545325059,bonito pasar fumigar,N
141,776434082154582016,listar puente peatonal casaya tendre dejar jugarme vida ir auto cajero,P
142,776158675476090880,asi ser metro alegrar solo si barca perder qe influir madrid cmo ligar ayer tuani,P
143,776807812076703744,rico dormir,P
144,776197117253607424,ey ahi si sabria decirte generalmente siempre hacer sol temprano llegar poner nublar luego 3 p.m.,NEU
145,775584603893411840,escribir gente hora ansiedad permitir esperar hora prudente,N
146,775223394996486144,gab lunes morir estudiar fisiología animal ahorita poder sabado domingo pa bueno,N
147,776589176934281216,tenis primero ser comprar llegar mundo tenis nuevo aqui zad,N
148,776614618269573120,delicia si mas cercar fijar llegar tupper kilómetro separar pozo,P
149,778376416530432000,qsflp corazon desperto paso seguir dictar voz sonar siempre ir ligar amor,P
150,778291153074401280,cenizo malo andar alegria arder ojo poder usar lente contactar,N
151,786728406633156608,manana examen quimica ingle aqui acostar celular conciente temer entrar,N
152,788748085761417216,matar historia tanto paises latinoamericano mierda seguridad maldito concepto machar,N
153,788735032336592896,bueno dias hacer hora medio sali cartago apenar capotar gasolina caro preso rendir,N
154,788164692376256512,hola,NONE
155,787738825552334849,positivo hacer tendre responsabilidad extra adquirir si quedar electo mae queria,NEU
156,787499227681140736,aunque dia empezo mejor manera quedo decidir tipo dia querer vivir,NEU
157,788950273771253760,independientemente resultar quedo claro tigre ir proxima fase clc,NONE
158,788962460552179712,pues hablar salir lado nono dentro mal hablar trastorno personalidad,N
159,787489428256141312,peor mundo olvidar fecho cumpleanos sorry felicidad bae,NEU
160,787659841426722816,despertar mas tranquilo relajar despertar amanecer cansar enojar,NONE
161,788596794888491008,mamar maquillar super chivo halloween gravar snap snap naymavp,P
162,788552972544258048,manana madrugar ir trabajar casi frontero norte si poder pasar ir todo botonar,NONE
163,788458345686568960,mismo problema tenia lado solo solo ir dia oficina vida ilusion,N
164,788258714708942852,excelente expectativa suponer ir pendiente verla mas pronto posible gracia,P
165,789317895352299521,aun comer listo hambre si servir dar pereza,NONE
166,793925945090449408,championsxfox poder mandar saludar costa rico ver sporting bryan ruiz porfa,NONE
167,794310305367158789,castrar ir cafetero solo traguito asi vez lindar darse tiempo,P
168,793902627809411072,ver vecino tan guapo peor llamar,NEU
169,794701150356434945,fin pasar rogue demasiar papar uno nike comprar,N
170,793835901860229122,manana entregar trabajar final aqui zen desayunar paz tener medio paginar escribir fuente,NEU
171,793498295951826944,fijar tenia amante bandido esperándola alison,N
172,793575747201798144,imaginate si saludar alguien saludar atras feo dar miedo ajeno,N
173,793476497721823232,monsejimenezp jaja dichoso entonces excusar ser tan repugnante,N
174,793494544780328960,dias hoy agradecer tener carro andar higado hinchar saber marchar mejor andar uber jaja,P
175,795301082805260288,siempre ver pasar deprisa ambulancia soportar avanzar hacer nudo garganta venir malo recuerdo,N
176,795401908328550400,si tambien gustar esfuerzo social google problema creerles volumen usuario,N
177,795395906682163205,loz empezar xq twitter solo joder darkus pasatiempo contar twitter definir uselalogica,N
178,794931782923730945,hoy concertar metallica uuhh lastimar ir wea triste,NONE
179,795738550364999680,chema oficina desear volver oficina dirigir empresa mejor,P
180,795747254338547712,saber hacer mas agarrar celular audífono despejar mente,P
181,795761629648617472,hoy ocho dar camisa 11 si ir lograr sobrevivir semana trimestral,N
182,795661212101017601,llevar mas semana lesionar,N
183,795667710050963456,sos jamar gordon favorito,P
184,795646557655826432,propuestasolicitud servicio deber quedar claro entregarles si claro habra problema,NONE
185,795625717404958720,arroyar mezclar realidad mundo paralelo diferente demas peliculas marvel,P
186,795490783453446145,querer aniquilar desgraciar,N
187,795488824042385408,ahora ver video pingüino poder creer normal tan triste diganme vosotros tambien llorar,N
188,790381773544837120,poder ver serie vez peor prisonbreak blackmirror,N
189,790315522558754816,momento decidir tener ideo mejor,N
190,790324639197196288,volvio mierda show huevo dia triste hombre arenar,N
191,789633490648129537,ir gastar comprándome halloween comprar mudar pasar entrar mil,N
192,791738636135964672,acabar recordar existir quedar navideño casi diciembre verlos lado,P
193,791640101751230464,aceptar hundir consumismo nuevo macbook pro gopro hero gopro karma nintendo switch,NEU
194,791005572690681857,guerrero ir ser gran comunicador,P
195,789620351042932736,princesa hermoso crecer rapido amar pequena tia,P
196,789960420610093056,ir ver armagedon cintar rajar mucho gracia personar recomer,P
197,789934663540154368,levar dudar foto meet aca cr ir publicar ano venir,N
198,789682700491759617,tejer cabron si programar ver agradable vida real doblar bueno gente,P
199,791469610759516160,anticuar doler ver escuchar gente querido rabo,N
200,790675497512558592,sospechoso tardar navideño octubre grinch,N
201,790449761988046848,quedar wifi flojera levantarme encenderlo nuevo mamar querer,N
202,791118835038425088,cueropapel tijera tenia vestir hacer do semana subir preciar,N
203,791139931485773826,decir german triste jaja nunca habia querer gato jaja,N
204,791127304739094529,decir nuevo tranqui jaja si ver mas bolso lindo recomendar tambien porfa,NEU
205,791067778752983041,tipica nunca decir palabra picha siempre comer,N
206,790008095069970432,ultimamente twitter ideo twittear feo tec,N
207,785571705754226688,grupo estudiar religioso sotano estan hacer bello increible solo querer ver pelicula puto,N
208,785566254060797952,bonito tener orden vida solamente aprender acostumbrarse poner coser personar lugar,P
209,785649591911714816,regalar asi si alguien interesar poder buscarlo tipo md cercar plaza cultura soler,NONE
210,785931249915301888,poder ver info horario tenia ideo podia solicitar digital gracia,NONE
211,785993181456248833,fijar perder vez pasar encontre lavador fumar rendir semana,NONE
212,785819071300251648,queria levantar ruido hijueputa licuadora gracia descerebrado primar,N
213,786047229492539393,listar mucho gracia nella,NONE
214,786047159212781568,si coral zepol necesitar influenciar digital hoy despues pichazo pegar podria ser,N
215,786031752594587649,llegar peliculas cine clasico pedi asi vere basico the purge ano eleccion,NONE
216,786066321008099328,hoy santi rego michel llenar fresco parecia ceniciento pisar jaja,NONE
217,786065045713219584,gracia hoy feliz descansar sonar bonito querer monton,P
218,786129263002918912,feo celular,N
219,786055233340313600,criterio favor tan claro cuanto resultar final,NEU
220,786076428177661952,recuerdo mas importante mejorar vivir quedar alma mas cualquiera coser horrible,NEU
221,785690847715008513,bueno noche chico chita tl sonar bonito asi,P
222,786818931910545408,jaja gracia igual medir,NONE
223,786788822377910272,gritar malo personar,N
224,786782707330134016,salir examenes ir meter gimnasio ir tener cuerpo lindar ahi ir ser feliz,P
225,785658215841181696,new balance podria dejar ser patrocinador sele camiseta feo vez,N
226,785811619204964353,bueno dias ultimar dia laboral ir vacación semana exitos vida feliz,P
227,785744398705364993,si ir comer gallina mejor quedese calladito tomese pastillitas seguir echándole contar youtubers,N
228,785391027561439233,centrar bueno tan malo elemento primero do peliculas mejor agregar nuevo,P
229,786954063615176704,profe comunicacion parecer profesor umbridge fondo malvado querer ver quedarnos,N
230,787046850264076289,decir tanto vez odioso vez creer si naah amor,NEU
231,787049955206627328,ahora trabajar tiempo completar sentir tan merecedor viernes derecho cantar the curar,P
232,786963065527033856,ralentización mas divertir,P
233,786964419079122944,casi quitar frenillo querer aun sentir feo necesitar menos ano mas,N
234,786412156711428097,temer apartar vida dar mucho vuelta curioso cambiar coser,NEU
235,786405475055046656,ey injusticia sabio guardar queria arruinar danan siguiente poner,N
236,786417329731014657,chiky evento decir mae echame amigo nunca cumplir malo mejor amigo,N
237,786416898204393473,manana debut percusión león chino poder dejar ser samulnorian frustrar aunque traer samulnori mas lindar,NEU
238,786464649239752704,menos tenes ahi acordar ultimar vez ver mio amar cancion btw,NEU
239,786438206778585088,operar lunes leer alentador seguir mejor,N
240,786509571934130176,campo jurel reconsiderar siempre insomnio ansiedad dejar dormir manana,N
241,786027261325668353,hablar caca lado comemierda democrático,N
242,786237591569825792,! mejor esperar emocion disco nuevo desear tener tiempo digerir todo discográfico morir,P
243,787153460957421568,amor duro siempre,N
244,787153315377184768,nuevo querer dedicarme solo ser groomer pasear perro saber felicidad traer,P
245,787122996225777664,ah entonces ver 1 stranger things ademar menos episodio ir ver si empezar,NONE
246,784583239742713860,i told you bateria ridiculo duro minuto ahora necesitar arreglar,N
247,784605890418794501,respuesta correcto jaja,P
248,792219664013074432,casar encerrar carro musicar full deberia algun lado,N
249,792581420908617728,cr azucar jaja solo salir limon vez echar poquito chile,NONE
250,792559306881142784,perfecto ! gracia ver cuanto tocar pagar ano ano pagar mismo,N
251,792520091204222980,﻿1 vez ano plan halloween disfraz solo querer terminar estudiar rapido ver partir,NEU
252,792530696136904704,windows mal caer abrir cualquiera navegador aplicacion tan lento torpe ineficiente dar pavor,N
253,792817450555437057,suspirar poner picadillo chayote moler maiz dulce arroz fríjol bistec asi sencillo,NONE
254,792786886578216960,perdon jaja semana pasar contarte podia,NONE
255,792774890835161092,apoyar network network futuro página hare videos directo ahi habran,P
256,792824638409629696,extrano vivir tia poder ir playa peder primo favs,NONE
257,792625137396744192,si pagar viernes estaria fuertemente fiesta aqui acostar cama colorir tarjeta,N
258,793251112283353088,mamar ir tambien ir fijar acordar distraida,NONE
259,793155324085547008,jurar ver borroso,N
260,793164052847484928,vez pasar hacer amigo bano club llamar naomi saludo naomi presentar,P
261,792449072976175104,sentir tan inutil bueno siempre trabajar tarea pasar,N
262,792469210567888896,minutar silenciar trabajar horario mall poder ver clasico,N
263,792389968677117952,hacer huevar freír mas perfecto historia tomar foto,NEU
264,792122619348684800,arom simple mejor arriesgarse q consumir q disfrutar mejor pasar,NEU
265,792933372892819456,vosotros mejor amigar chile mejor amigar extrano zad,NEU
266,792950601533394944,jajaja poner buscar defecto bueno iniciativo redar tambien querer haz falto,P
267,792973675364388864,boto cuidar enamorar suegro ver senora manir cocinar decir qe panza lleno corazon,P
268,792997729307725824,todo mil personar podia haber pasar paso,N
269,792895126431420417,millennial memorial cambiar contraseña wifi nombrar gatito amigar boabdil acabar morir,NEU
270,791840258040041472,regalar hermanar menor pleno adolescencia insoportable aceptar invitar comer,N
271,790913130545057792,negar senor misericordia siempre proteger amor verdad salmo bueno dia,P
272,790727328888262660,amar hacer ano demasiar comun jaja,N
273,790797092050472963,estomagar decir mozarella stick hueco post operacion decir pure gerber,NEU
274,790060482035974144,sentir mas ignorar costumbre bueno estudiante universitario vez lamentarme poder aprovechar tiempo,P
275,789741457443663872,am semana dormir hora hacer examen quimica am salir brete pm,NONE
276,787975897664004096,si si prender fuego unica sabio cantar hacer fila bano gustar conocerte,P
277,787984763713826816,entrar trabajar pm santo carlos tio creer ir llegar puntual,NONE
278,787886655919288320,podria decir ex demasiar feliz hacer crecer personar,P
279,787858728607322112,decir bonito dia super chulo divino crush decir feliz cumplir,N
280,787887162389766144,cr ahi bueno descansar mojar palco frente hablar privar libertar,NONE
281,793311961186381824,seriar ir graduar tiempo dios,N
282,793311843045380096,stargazer si perder esperanzar jaja decir mucho expectativa alguien dar tomar gordo,P
283,796477634930679808,clinton ganar votar popular trump colegiar electorado adivinar presidente electo,NONE
284,796509950822547456,sorry x delay app arrancar quiereabrimos lunes sabado pm,NONE
285,796393637479325696,escuchar aguantar poder creer aun elegir realmente triste,N
286,796436593355661312,final siempre llegar mismo debio asumir mas lado femenino,N
287,796208842640097280,posible trump ir ganar elección aun ganar pizza !,N
288,796200964684468225,cada accion cometio delito vez llamar concursar ideal material acordar,NONE
289,796138069451767809,pendiente vacio whisky habano fin complicar,N
290,796007317653385216,bill clinton viejito,NEU
291,796040775364710400,escena documental mas respetar naturaleza planet earth bbc dudar montar,P
292,797201498379812864,hoy bueno diaa,P
293,797442154998198272,tan divertir,N
294,797979127089246208,necesitar plata regalar cumpleanos alcanzar ropa navidad ano nuevo,N
295,797920810560155649,querer enseñar bola facebook politica desnudo estricto mejor,NEU
296,797946447580626946,hermoso verdad [ ? ] tocar quitarlas poder mostrar caro,NEU
297,797825741144686592,ver nuevo emojis ios102 aguacate,NONE
298,799279043124297728,tan triste vida hablar snapchat solo decirme animal lindo,N
299,799265326902951936,sentirse mal querer creer bueno saber querer,P
300,799202890032168960,estornudar mordi lengua suerte asi,N
301,800022236312829952,vez dejar mamar verdad ver tan guapo,NEU
302,800074815520509956,suerte nivel llamar pizzeria pasar pizza llover dejar sombrilla perdido,N
303,800073694286675972,asi hacer estupidez,N
304,800197219785867264,parecer personar odioso cada rato decir caro amargar,N
305,800191474503745536,jueguito septum cerrar completar caber pieza,NONE
306,800166145672310785,jajaja aqui confianza virtual,NEU
307,800169135808409600,ex novio vrs sabino finalmente aceptar viejo,N
308,798874400019849216,hacer haganlo amor corintio bueno dia,P
309,799603531380588544,bueno dias pase bueno dia,P
310,799600564283801600,sacar cejar ocurrir coser genial decidi arrancarme pestana ahora doler parar hinchar,N
311,799673383017443328,canción juanes julieta venir siempre hacer feliz,P
312,798562479022440448,ver fox pasar portar periodicos deportivo solo crc periodicos deportivo,N
313,798593094409211904,hacer sino nadie contestar asi ver culpar mover coser perdon vivir,NONE
314,798520354264137728,siempre desear librecomo hoy andar temprano dar vuelta sonar,N
315,799106736204500992,librar leer seriar ver noche estan volver aburrir,N
316,799128741393920000,imposible querer irse europa tenia pequeño esperanzar saber imposible ahora llevar europa,N
317,798395934359089153,gato mae esque top dez bryant brown obj zek venir cuartar,NONE
318,798228439182426112,obviar querer llegar verte asi vez organizar irma,P
319,798226790539923457,buscarte xq habias agarrar x callar venia hacer concertar bueno pues encontre final jeje saludo,P
320,798018670471614464,asi aqui pasar similar dias,NEU
321,798087645645651968,ahh jajaja bueno bueno noche descansar,P
322,798682768158982144,ay tan lindar amigar gracia esperar jugar rencor hacer imparable estan resentir,P
323,798706777751687168,ingrato solo tú si,N
324,798732040376029185,solo quedar casi ver luz,P
325,798731333858197508,ay bonito demasiar extrano sufrir altura ir pelear,P
326,798747276466384896,jajaja exacto igual solo mas seriar declaración aun solo siempre decir asi,NEU
327,797865894001180672,familia empezo villancico volumen tenia musicar poner quitar,NONE
328,797862382089420805,callese mae jajajaja carro bastante durar mae jaja,NEU
329,799445926087716864,malo indirecto esque chisme medio asi poder,N
330,799448567626743808,ano ir ser diferente ser diferente,P
331,799436785487122433,verdad triste llegar punto,N
332,799408617543733249,varar odiar materia teorias amar cocinar,NEU
333,799430917026627584,mami ir bajar velocidad internet mejor quitar,P
334,799482352384741376,hoy desvelar nuevo,NONE
335,799481901874638848,papar emocionar lagrimar tenor concierto quedar alma siempre,P
336,799475852350259200,gustar ahsroanoke temporada bueno miedo corto ansioso temporada 7 [ ? ],P
337,803626014127439873,ge pulsera bastante intentar par vez bueno foto mae,P
338,805623699453935616,talvez volver yt asunto personal,NONE
339,805623476224671744,encantar resaltar moda ser superficial sino ser excelente criticar saludo costa rico,P
340,805614283509919744,lelo escribir responder lelo dejar gris,N
341,805598225075961856,ab tomar descansar apenar nuevo ir dairy queen bien,NONE
342,805637515864576000,correcto puro arte mejor poder describir felicidad bendición,P
343,806270461080375296,nadie querer ir tomar cafe conmigo,N
344,806152341749698561,interrumpir sonar perdi sonar momento gracia trabajar quedar dormir,N
345,804536745907908608,bonito anunciar excedente asociacion solidario estan depositar,P
346,804505028673282048,aun poder salir u tarifar uber alto escupir,N
347,804158689821229056,mejor ir estudiar,N
348,805793848488292352,oh curioso google play music apple music servir,N
349,805899060154613761,cinnamonrolls traer mucho paso puro sabor navidad prosanafoods estaciongourmet,P
350,805879457806487552,gc chivi hacer videos mas tocándose cabellar video hacer divertir entretener,NEU
